Persea americana
Dieffenbachia spp.
Lupinus spp.
Parthenocissus quinquefolia
Senna occidentalis
Araujia sericifera
Argemone spp.
Gomphocarpus spp.
Cotyledon orbiculata
Xanthosma spp.
Colocasia esculenta
Solanum spp.
Euphorbia spp.
Nicotiana tabacum
Datura spp.
Cestrum spp.
Crotalaria spp.
Enchylaena tomentosa
Linum usitatissimum
Sanseveiria spp.
Schinus spp.
Vicia sativa
Coronilla varia
